t_id,u_id,t_type,i_id,t_date,t_amount
301,212,Sale,974,2025-01-04T12:42:01.007590,77418
302,104,Sale,688,2025-04-03T19:05:41.241596,7281
303,475,Rental,182,2025-04-05T14:41:42.108305,30170
304,167,Rental,705,2025-03-15T19:32:34.704974,6815
305,208,Purchase,438,2024-09-07T19:20:45.465711,97342
306,161,Rental,738,2025-01-01T11:56:10.928520,29290
307,381,Purchase,962,2024-07-17T06:54:44.752503,111807
308,232,Rental,112,2024-11-12T13:03:58.922053,5924
309,126,Rental,899,2025-01-18T06:28:19.848598,17328
310,286,Rental,41,2025-04-17T19:17:30.746430,9263
311,150,Rental,195,2025-04-19T05:04:57.652358,39520
312,156,Refund,906,2024-12-12T21:02:57.317611,17036
313,217,Refund,171,2024-11-27T07:22:12.814054,41165
314,28,Sale,942,2024-11-18T08:30:24.672261,156192
315,331,Rental,850,2024-12-01T04:46:44.136314,16003
316,257,Purchase,740,2024-11-22T03:54:12.850998,2126
317,300,Sale,798,2024-10-07T09:22:31.757339,4160
318,166,Rental,424,2025-04-13T09:03:52.448467,16746
319,233,Sale,184,2024-10-27T06:47:57.662049,40056
320,129,Refund,93,2024-11-23T07:31:48.225219,34206
321,465,Sale,665,2025-03-29T16:25:27.727400,49788
322,64,Purchase,751,2024-10-24T03:15:38.571495,9762
323,231,Refund,724,2025-02-23T09:07:08.683887,15019
324,363,Rental,537,2025-04-05T18:55:17.957055,22443
325,500,Sale,811,2024-10-26T20:10:41.937284,33380
326,195,Purchase,564,2025-03-12T23:57:31.572843,4606
327,172,Sale,935,2025-03-29T05:31:45.049428,14766
328,75,Sale,890,2025-04-15T11:16:22.679627,6937
329,158,Refund,430,2025-04-19T11:38:34.235368,97176
330,493,Rental,788,2024-08-12T06:56:06.553723,50145
331,93,Purchase,642,2024-11-17T15:42:20.536988,6192
332,104,Purchase,984,2025-02-08T12:54:17.799305,48588
333,235,Rental,13,2025-04-16T18:13:29.636245,138536
334,414,Purchase,557,2025-03-16T05:15:24.027420,181170
335,253,Sale,904,2024-10-16T00:30:30.328676,20238
336,338,Rental,603,2025-02-08T07:56:22.173910,44760
337,227,Purchase,420,2024-09-29T21:00:42.113028,51835
338,4,Sale,615,2025-01-26T07:27:38.001056,55578
339,322,Sale,635,2025-04-03T01:49:36.318269,13226
340,76,Purchase,190,2025-04-01T07:10:00.193710,63804
341,19,Sale,358,2025-02-17T18:52:54.413544,68425
342,342,Refund,34,2025-02-18T04:31:41.416653,14358
343,45,Purchase,943,2024-12-12T04:55:02.651609,4701
344,92,Sale,427,2025-03-23T18:22:42.791718,77688
345,313,Sale,292,2025-02-16T03:47:31.206762,13108
346,297,Refund,768,2024-09-11T15:54:39.967741,4359
347,394,Refund,96,2024-12-28T00:01:29.395052,21576
348,460,Rental,378,2024-12-27T02:38:32.328737,35878
349,219,Purchase,777,2025-04-03T00:51:28.241969,3270
350,69,Purchase,483,2025-01-20T14:07:36.758758,76390
351,270,Rental,338,2024-06-04T06:00:19.370560,35160
352,108,Purchase,713,2025-02-26T07:28:49.879565,39530
353,374,Purchase,586,2024-09-19T10:00:06.436836,15466
354,353,Refund,742,2025-02-24T13:13:03.182193,37268
355,435,Refund,624,2025-02-13T09:43:16.767404,67215
356,295,Refund,539,2024-12-22T02:23:43.111740,5087
357,289,Rental,630,2025-02-22T08:03:20.896997,48335
358,324,Rental,747,2025-02-11T08:41:31.814711,62160
359,93,Sale,828,2024-08-16T04:46:07.455129,23905
360,1,Purchase,199,2025-02-07T16:23:38.790256,9807
361,321,Purchase,477,2025-04-19T13:32:31.041226,10506
362,316,Rental,819,2025-04-06T14:30:39.759091,18582
363,171,Refund,47,2025-04-13T10:38:22.572809,35010
364,327,Sale,826,2024-11-26T15:17:29.707491,14857
365,104,Refund,656,2024-05-16T01:31:01.869999,74075
366,35,Refund,810,2025-04-07T10:03:25.776612,1834
367,282,Refund,519,2025-03-13T19:49:48.696258,2005
368,352,Refund,117,2025-04-08T09:24:17.073061,29199
369,371,Purchase,406,2025-02-23T16:09:33.604628,9924
370,170,Refund,199,2025-02-10T21:05:09.800836,19614
371,243,Purchase,939,2025-01-06T10:27:20.561531,6846
372,80,Rental,494,2024-12-25T18:12:14.048772,134658
373,172,Rental,918,2025-03-05T20:28:11.251220,11369
374,381,Purchase,951,2025-04-02T04:14:22.191341,75465
375,290,Refund,307,2025-04-18T01:56:59.704403,22707
376,10,Sale,549,2024-08-07T01:28:24.409699,61660
377,170,Refund,702,2025-01-30T12:47:46.451811,3274
378,77,Refund,993,2024-11-24T01:14:47.210792,13960
379,193,Sale,348,2025-04-18T19:57:45.033873,24465
380,200,Sale,621,2024-12-17T12:29:51.965139,45090
381,443,Refund,120,2025-02-05T09:10:03.492192,97482
382,162,Purchase,879,2025-01-29T23:18:21.526103,7062
383,45,Rental,424,2025-03-21T03:25:45.758691,66984
384,232,Refund,381,2025-01-20T00:10:49.210318,14609
385,155,Sale,538,2025-04-14T05:32:23.298860,14996
386,402,Purchase,384,2024-11-24T23:00:40.159440,13505
387,48,Rental,936,2025-03-17T16:12:07.451001,51885
388,410,Rental,26,2024-12-17T19:36:27.847506,67825
389,98,Refund,158,2025-01-06T11:14:36.317887,52676
390,448,Refund,751,2024-10-29T22:07:20.866016,29286
391,394,Purchase,147,2025-04-17T03:12:37.242126,35064
392,68,Sale,693,2024-12-05T22:49:53.003425,37812
393,236,Rental,38,2025-04-18T02:06:01.063088,112362
394,268,Purchase,886,2025-01-30T21:08:03.964445,14150
395,478,Purchase,319,2025-02-19T04:28:09.427809,19191
396,305,Purchase,869,2025-03-30T09:38:51.469146,51858
397,456,Purchase,479,2025-04-17T11:19:31.674368,10034
398,393,Refund,534,2024-09-26T16:05:14.674206,4862
399,389,Refund,592,2025-01-17T11:07:31.766577,4884
400,108,Refund,914,2024-06-12T06:43:28.352243,740
401,147,Refund,198,2025-04-17T21:20:53.363051,33216
402,226,Purchase,792,2025-03-23T05:58:55.085578,23952
403,81,Refund,153,2025-04-07T04:25:51.122437,21320
404,491,Purchase,16,2025-01-28T14:10:37.876160,1520
405,180,Refund,556,2024-09-30T03:23:17.965791,27362
406,483,Refund,145,2025-02-17T09:29:18.866492,63660
407,88,Purchase,251,2025-02-14T10:13:14.539415,32337
408,457,Refund,628,2024-10-14T15:36:51.585223,42765
409,26,Sale,455,2025-03-26T19:45:19.351287,3313
410,463,Purchase,483,2024-11-29T20:19:56.589805,30556
411,28,Purchase,393,2024-12-28T09:42:32.053178,11744
412,92,Rental,402,2024-11-27T06:05:22.464270,67495
413,160,Refund,365,2025-04-09T05:56:31.842780,28366
414,389,Purchase,731,2024-04-28T15:17:04.013868,7077
415,68,Purchase,582,2024-07-19T10:08:13.377246,35296
416,234,Refund,100,2025-02-03T18:47:27.466009,40029
417,364,Rental,660,2025-04-12T09:35:17.482488,20300
418,486,Sale,238,2025-04-12T07:37:28.501456,17392
419,459,Refund,882,2025-04-13T11:56:01.974070,73518
420,94,Refund,402,2025-04-17T09:26:38.302195,40497
421,250,Purchase,465,2024-12-19T21:25:09.133020,6607
422,58,Refund,487,2025-02-17T06:11:53.722702,112952
423,434,Sale,473,2025-02-15T20:39:10.479404,66810
424,179,Sale,787,2024-10-05T02:49:59.982046,5972
425,419,Purchase,416,2025-04-18T19:24:58.304872,13123
426,333,Purchase,570,2024-07-18T11:43:59.949801,43704
427,237,Rental,546,2024-10-26T09:53:44.032671,9152
428,318,Sale,245,2024-07-25T22:52:36.263507,12357
429,499,Rental,163,2024-10-28T13:29:20.076059,40748
430,175,Sale,68,2025-01-31T08:49:44.074745,15872
431,223,Refund,804,2024-08-30T22:10:13.863664,21785
432,121,Sale,711,2025-03-06T16:22:34.077655,39506
433,477,Rental,758,2025-04-13T07:38:24.055573,13757
434,306,Rental,607,2025-04-04T13:10:14.902971,27640
435,50,Rental,569,2024-07-25T18:15:52.609372,9306
436,490,Rental,316,2024-08-06T13:33:27.030985,1984
437,56,Rental,613,2025-03-25T18:28:20.306387,6312
438,331,Purchase,507,2025-04-18T00:17:53.765743,11054
439,419,Sale,223,2024-06-22T13:22:23.382507,75490
440,387,Purchase,925,2025-01-30T17:17:29.845511,5756
441,77,Rental,677,2024-11-04T08:06:26.323838,26613
442,200,Rental,299,2024-12-13T13:55:20.818874,33932
443,349,Refund,211,2025-04-06T07:43:17.760324,81835
444,407,Refund,584,2024-12-04T14:11:00.918824,27274
445,469,Refund,736,2025-03-12T08:46:55.555908,39930
446,5,Rental,597,2025-01-31T07:43:45.912802,28070
447,151,Purchase,873,2025-03-27T08:18:40.249235,37956
448,282,Purchase,923,2025-04-11T20:21:33.584961,13263
449,287,Refund,721,2025-04-18T11:17:47.852363,9300
450,145,Purchase,882,2024-12-27T17:58:47.352045,49012
451,360,Rental,443,2025-02-04T17:19:57.360857,85236
452,196,Rental,729,2025-02-05T20:20:52.967104,68424
453,280,Sale,446,2025-03-01T03:09:08.263702,36396
454,244,Sale,178,2024-08-02T23:25:39.072633,18904
455,197,Refund,569,2024-11-16T15:28:38.719147,18612
456,148,Sale,158,2024-08-18T08:58:48.090186,26338
457,37,Purchase,12,2025-03-02T02:52:27.656209,7746
458,454,Rental,739,2025-02-08T03:19:18.388091,13844
459,70,Purchase,999,2024-12-17T17:55:01.490456,52884
460,413,Rental,658,2024-07-02T07:57:22.910476,48768
461,404,Rental,916,2024-11-19T08:44:59.165765,90605
462,233,Rental,185,2025-02-21T04:46:31.449457,31020
463,231,Rental,840,2025-03-26T21:58:34.926987,46782
464,96,Rental,232,2025-03-03T02:47:59.128725,13179
465,296,Rental,8,2024-09-01T09:42:05.225364,4818
466,257,Refund,730,2025-01-28T11:20:17.978091,19134
467,280,Refund,949,2025-03-18T01:03:28.355624,7758
468,291,Rental,39,2024-11-09T03:15:32.938855,57936
469,298,Rental,116,2024-11-15T00:04:55.857974,25106
470,374,Refund,146,2025-03-31T16:18:27.854152,24402
471,41,Purchase,530,2024-08-02T03:12:34.424894,8902
472,323,Purchase,484,2024-11-30T05:22:01.212461,4070
473,28,Refund,628,2024-12-23T13:38:59.993357,42765
474,6,Rental,798,2025-01-20T12:38:30.975803,4160
475,464,Rental,525,2025-02-14T20:19:04.519765,31530
476,181,Refund,432,2025-01-21T02:17:30.388544,82945
