i_id,i_name,i_description,i_image,c_id,i_price,i_date_listed,i_quantity,i_available
96,Networked contextually-based framework,"Exist writer about concern but discover. Soldier performance receive century economic. About student bar know project.
His tree truth soon unit. Line anyone product individual someone.",,6,3596,2024-12-26T09:38:34.156018,9,false
97,Down-sized composite frame,"Full attack method town front education stop. Rule traditional especially court purpose itself growth.
Military wonder others TV.",,7,9810,2024-04-19T14:32:12.394808,5,false
98,Adaptive web-enabled artificial intelligence,"Which really however officer couple building take. Focus accept building class report blue.
Charge people media. Reduce job woman message minute.",,11,5427,2024-05-29T16:10:15.571258,6,true
99,Up-sized bifurcated open architecture,"Better article fire case.
I there should thought dog consumer. Value win road challenge risk.
Company hotel street picture yourself citizen. Finish visit whose thing.",,10,5134,2025-02-04T03:11:15.773941,6,true
100,Reverse-engineered web-enabled monitoring,Remain travel few will red time. Main care always practice condition factor read. Drop despite along.,,11,13343,2024-12-16T21:43:19.856112,3,false
101,Enhanced mobile Internet solution,"Nearly record detail price source college until office. Possible wife phone since least prepare.
Long worker truth. Congress then good trial significant. Bad pass happen dog star.",,12,3276,2024-07-04T04:16:59.302751,5,false
102,Persevering homogeneous middleware,"By audience national activity foot often. Particularly statement need science. Security clear he four beyond.
Score partner go. Ok decade read body.",,7,11263,2025-01-30T03:27:34.106508,3,false
103,Managed upward-trending algorithm,"Make market TV central. End information reduce successful skin.
Year cup what. Describe stay born middle. As society money performance rise seek.",,12,17748,2024-11-26T13:23:36.408794,2,false
104,Front-line bi-directional adapter,"Idea wind approach it short sit ok. Pull ago dog until believe. During individual natural.
Quality truth can may. Away education name language care. Win artist play like knowledge.",,11,14374,2025-04-02T20:49:55.226559,9,true
105,Object-based 24hour architecture,"Factor current doctor hand whether lay field another.
Range campaign discussion whether. Sense yet less prevent major some. Represent song outside serve.",,1,12381,2024-04-27T00:58:09.394895,5,true
106,Function-based foreground Graphical User Interface,Upon speak be say lead right. Box new rate material window. Single road always phone somebody girl.,,4,11697,2024-06-01T03:20:41.088008,8,true
107,Operative logistical access,School white avoid. Culture next evidence area time grow.,,4,5007,2024-08-12T03:06:50.607983,3,true
108,Vision-oriented client-driven service-desk,"Against series financial service attention.
Far black kitchen protect. Realize throughout evidence wall age really financial.",,5,3814,2024-05-03T13:46:31.675122,9,false
109,Diverse fresh-thinking Local Area Network,"Process difference senior less care.
Significant not party lot throughout over. Senior police arm something. Message big less person there.",,12,17753,2024-07-12T18:49:44.166001,1,false
110,Decentralized composite Local Area Network,Ball stage arm early drug serve establish rock. Government high radio fast. Decide catch before power choice but.,,6,4794,2024-05-24T19:55:36.409018,10,true
111,Organic solution-oriented encryption,Night prove firm interesting buy. Board rate property perform resource find. Including reduce move surface.,,3,5816,2024-09-21T05:45:13.998430,3,false
112,Monitored multimedia approach,"Four population meet air agreement south firm their. Because rather through start space guess small.
Group exactly red manage. Education single event hospital some early fill.",,10,5924,2024-07-12T10:35:01.612865,8,true
113,Proactive maximized parallelism,"Goal prepare face source again beyond building. Agency church guess special government.
Itself begin its of yard take sport center. Sea light key century weight guess visit soldier.",,7,12437,2025-02-06T11:33:07.953408,4,true
114,Proactive optimizing firmware,"Rise from sometimes page security great. Government lead medical break large cover body report. Race tell song keep blood.
Sure use evidence age. Outside decade television trial little.",,10,9836,2024-09-22T12:51:21.484631,8,true
115,Ameliorated grid-enabled ability,"Mother owner also simple. Quickly full ground soldier usually.
Sister tonight make some consumer person. Recognize describe sell star yes lead.",,9,8337,2024-06-03T06:43:00.604954,5,true
116,Self-enabling responsive extranet,What notice skin will unit gas. Attention total live born ago consider night. Create new develop professor nothing guess live.,,4,12553,2024-06-29T04:33:48.694974,10,true
117,Synergized system-worthy knowledgebase,Police time agree change name adult parent line. Agree pretty local the. Mission suddenly wish girl.,,8,9733,2025-01-24T15:34:42.903158,7,false
118,Reactive multi-tasking monitoring,Tell though executive attack from college. Business determine agency kitchen personal.,,9,14218,2025-02-12T14:09:19.133899,3,true
119,Decentralized executive throughput,"Final whose difficult. Establish product tree radio read trade certainly.
End cover fast thank teach toward. International these way sell. Last why kid thus nice theory.",,10,5035,2024-11-02T17:36:26.107446,5,true
120,Intuitive didactic knowledgebase,"Authority civil offer. Issue entire put our. Unit else east view.
Establish able always. Operation home attention meeting language hour oil worry. Cause anyone wife since whether property we city.",,11,16247,2024-11-28T15:44:36.243894,6,false
121,Re-engineered grid-enabled toolset,Happen center figure future. Herself according music rich a their. Specific defense president animal west air top. Available travel early PM full.,,2,17405,2024-12-16T09:35:51.944111,2,true
122,Balanced 4thgeneration methodology,"Between everyone dream the all anything. Run bag test major final.
Hold join produce PM summer. Draw treat learn cost bag group.",,2,5753,2024-05-05T07:56:29.849611,5,true
123,Expanded tertiary firmware,"Bank claim day despite. Strong model subject truth but none agency leave. Deep wide product according.
Else sister information type lot guy still. Book week practice here according.",,9,5328,2024-06-21T16:05:04.312732,7,true
124,Balanced next generation help-desk,"Matter scene garden. Only financial they unit.
Hair explain perhaps mind more order may. Life federal every coach.",,4,15282,2025-04-09T16:41:33.333269,6,true
125,Cross-group eco-centric encryption,"Become recent yourself star dream. To board born.
Protect hundred edge mother gas. Floor card face child hotel gas everybody. Part view get religious model fish.",,7,2245,2024-06-17T16:35:29.770994,7,false
126,Digitized fresh-thinking software,"Realize outside seek. Simple trouble it enough. Various fill like region collection cultural.
Case modern gun bring whom. Course loss risk paper worry bed there. Pressure us support spend.",,6,8225,2024-10-31T10:27:08.763200,7,true
127,Integrated uniform flexibility,Character behind from impact. Society own world good miss explain rule himself. Drive Mrs west address approach manager.,,6,7857,2024-09-06T05:07:24.890619,1,true
128,Persistent 4thgeneration challenge,"About until dark agency people. Machine protect community question reflect drop up.
Picture determine job gas kid ask camera. Live different fly newspaper blood life. Conference hope into fund.",,2,11486,2024-11-27T13:01:07.926375,3,true
129,Face-to-face scalable encryption,"Join line take. Win popular form Congress explain land country. Attorney capital ten ten determine try read.
Worry get drug recent. Fire property beautiful explain Congress smile.",,1,9900,2025-02-16T18:34:06.680611,8,false
130,Future-proofed explicit extranet,See nor some open. Challenge real wonder remain place.,,3,15871,2024-07-07T04:21:46.444991,8,false
131,Mandatory multimedia superstructure,Use those exist hard including look need. White pressure drop ever inside. Detail Republican star government smile.,,1,3096,2025-04-10T17:16:48.571619,1,true
132,Balanced zero tolerance productivity,"Language fire consumer successful say. Eight cause across civil wife campaign begin.
Good truth plant stuff cup political. Machine including event expect very.",,4,5399,2024-09-16T20:38:51.520278,9,false
133,Synchronized content-based portal,Parent hard beautiful writer. Nothing today news agent source.,,10,17794,2024-08-11T04:10:51.514367,7,true
134,Synergized value-added help-desk,"Force often free plan close live continue.
Seem chair southern sing force same city. Place fight still include music. Represent list area radio level court public drive.",,5,8286,2024-10-21T02:09:23.615358,5,true
135,User-centric value-added model,Wall pattern college will page world threat. Quite someone practice training growth. Whatever perform food son director feel another.,,1,8313,2024-09-07T11:07:29.797410,7,false
136,Adaptive background time-frame,"Us agree history benefit. Congress accept check oil hair democratic.
Sport house service describe at. Order concern collection.
Each near trip low.
Consumer girl adult summer.",,10,15478,2024-11-06T16:46:57.580439,2,true
137,Persistent homogeneous Graphical User Interface,"Voice sure morning either. Six member sing box tree.
Responsibility fight peace box with. Today ready laugh card. Mouth control almost effort.
Down yard rest act thank value dark phone.",,8,18065,2024-05-18T08:38:32.473344,1,false
138,Universal local info-mediaries,"Challenge than this because born job. Get face more town Democrat three management.
See base land book.",,9,19343,2024-08-25T09:13:17.736788,4,false
139,Synergized global database,"Watch activity social back miss.
Professor agree follow floor. Else floor natural include majority artist site.",,3,10044,2024-05-19T23:58:23.923833,7,true
140,Persevering secondary policy,"Upon case cost ago suggest. Traditional candidate guess bed citizen step eight. Time sure move authority peace always.
Field husband ask purpose.",,10,12061,2024-09-27T19:50:19.667001,4,false
141,Function-based analyzing knowledge user,Film fear range. My price build artist buy. Start friend imagine somebody I. Indicate author team can north scene.,,7,6637,2025-03-12T01:11:25.825075,2,false
142,Integrated local middleware,Leave carry television rock arrive true. Popular consumer environmental nor listen dog remember material.,,6,2717,2025-04-04T01:35:23.862696,9,false
143,Devolved systematic knowledgebase,"Newspaper five serve somebody get report owner network. Indicate law coach will list four wonder.
Tax time voice piece argue. In create establish arrive.",,9,17133,2024-08-01T21:32:04.918461,9,true
144,Extended content-based hierarchy,"Exist entire guy. Science this wall data. Value base black fund threat.
Yard forward political coach spend. Never responsibility conference personal feel down body happen.",,7,15905,2024-06-24T21:27:17.654679,1,false
145,Expanded fresh-thinking data-warehouse,"Month many share now brother dream able let. End word prepare someone. Task lose notice true today. Fund letter thousand.
Food cultural baby right begin. Identify feel wear sea movement.",,7,12732,2024-09-27T11:36:32.596106,5,false
146,Organized fault-tolerant portal,"Sometimes somebody million make. Already full interesting support entire base ok bill.
Able road course indeed ability effect. Cost work close.",,1,12201,2024-07-16T22:53:27.162370,2,true
147,Advanced secondary leverage,College relationship mouth institution responsibility government happy. Relate successful science remember outside lead food.,,4,3896,2024-07-22T10:45:03.705976,10,false
148,Robust encompassing superstructure,"First sign stage discover. Window game speak score. Most should plan people.
Respond take industry ground put trade. Admit main suddenly something beautiful become. Can close carry financial pretty.",,6,4871,2024-11-19T16:48:22.494709,1,true
149,Reverse-engineered full-range alliance,Tv unit similar follow to magazine. Nice see risk road seek. Away color former stand nearly fact.,,9,11593,2025-01-11T00:38:31.176327,3,false
150,Seamless actuating circuit,"Professor fund also a night. Garden research walk executive.
Science like floor student myself attorney year. That heart easy claim expect audience capital its. Against arrive government against.",,8,16180,2025-03-27T03:31:52.855176,3,true
151,Ergonomic stable data-warehouse,"Expert Republican party. Be this his yeah dark stock sound. Article spring factor beautiful practice.
Present ten approach Congress administration painting. Beautiful likely network answer citizen.",,2,15497,2025-03-11T15:15:39.933884,1,true
152,Integrated heuristic hardware,"Pay around economic while book former. Dark sign return blue anything.
Daughter fire day state Mr rule career reality. Present these day quickly work. Wind mind from size let.",,4,1935,2024-10-03T00:57:49.535951,4,true
153,Polarized intermediate complexity,"Where none each writer produce law. Law approach on approach note stay truth general.
Director something when medical.
Left born hear Congress enough worry nice. Option three responsibility west.",,6,10660,2025-02-11T02:20:54.097071,9,true
154,Assimilated empowering archive,Field choose then take. Heart Mrs form management act attorney onto. Out get and throw feeling later analysis.,,9,16012,2024-11-18T19:19:07.633305,5,true
155,Innovative 24/7 synergy,Peace soon second history environmental loss successful maintain. Positive response represent project cut. Set senior majority tonight.,,11,6762,2024-07-09T08:41:24.038221,5,true
156,User-friendly disintermediate info-mediaries,"Police game third finish receive bring. Despite only indeed could.
Trade use member health parent. Order bank certainly remember.",,1,11376,2024-07-15T22:04:07.485394,5,true
157,Enterprise-wide contextually-based task-force,Rule instead card above building lot if. Book hospital win. Bed stay television during you prepare student guy.,,6,14818,2024-11-13T21:11:52.328794,7,false
158,Advanced tertiary alliance,"Light adult sell final. Company know ten would debate soldier camera.
Stuff ball news real character whole. About successful tax pull rest forget program.",,8,13169,2024-08-06T06:28:09.004310,6,true
159,Optimized human-resource infrastructure,Prepare voice field compare available east. Weight for middle from court with.,,8,16802,2024-12-08T07:08:21.771265,6,false
